En Azuay se aprobaron 180 candidatos para 5 curules en la , ocasión llegó con CREO; y Juan Cristóbal Lloret por Unión por la Esperanza pero que en el periodo anterior fue electo por Alianza PAIS. 
Asambleístas piden que el Gobierno informe sobre la contraparte ,Juan Cristóbal Lloret correísta mencionó que si bien era necesario que el Gobierno busque recursos para financiar el Presupuesto General 
Las riquezas de Alexis Medina,“El imputado Juan Alexis Medina Sánchez posee bienes que no puede  uno de ellos en la Torre Lloret de Mar mientras que el segundo está en la Torre  de terreno ubicada en Najayo Arriba Fuerte Resoli San Cristóbal. 
Hoy el BID nombra vicepresidente de Países; Martínez podría ocupar el cargo por invitación de Claver-Carone,En todo caso el martes pasado hubo una propuesta planteada por el asambleísta correísta Juan Cristóbal Lloret para que la Asamblea 
El Ministro de Finanzas suma su segunda solicitud de juicio político,Juan Cristóbal Lloret oficializo el otro proceso. Rhonny Rodríguez. Actualizado 20/05/2020 
90 candidatos buscan las curules azuayas; en Junta Provincial no ,Se trata de María de Lourdes Cuesta quien pasó de Creo al socialcristianismo y Juan Cristóbal Lloret que dejó Alianza País y ahora es parte 
Juicio político a exministro será el primero, la Revolución Ciudadana (RC) Lira Villalva y Juan Cristóbal Lloret acusaron al exfuncionario de un supuesto incumplimiento de funciones 
Resolución sobre pedidos de juicio político contra el ministro , pedidos de juicio político que en el último año fueron presentados por los asambleístas Juan Cristóbal Lloret y Yofre Poma del correísmo; 
Gremios productivos insisten en que se acelere el trámite del , de la unificación de los proyectos presentados por los asambleístas Héctor Muñoz y Juan Cristóbal Lloret para combatir el comercio ilícito. 
El juicio político contra Christian Cruz se inició en la Asamblea con ,Antes de arrancar el juicio político en el Pleno las asambleístas Lexi Loor y Juan Cristóbal Lloret (RC) y María José Carrión (AP) pidieron 
Renuncia al cargo ministro de economía de Ecuador,Las solicitudes fueron presentadas en el último año por los asambleístas Juan Cristóbal Lloret y Yofre Poma de la bancada de la revolución 
Asamblea terminó el debate del proyecto de Ley de Extinción de ,Cristóbal Lloret y Juan Cárdenas también de la Revolución Ciudadana rechazaron las acusaciones de corrupción contra el anterior Gobierno 
Aprueban informe para debate de Ley de Comunicación, explica Juan Cristóbal Lloret asambleísta de Revolución Ciudadana. Para el analista Juan Carlos Solines el correísmo al considerar a la 
Gobierno marca presión a la Asamblea por leyes anticorrupción , presentado dos propuestas encaminadas a sancionar los delitos aduaneros la primera la ingresó el asambleísta Juan Cristóbal Lloret el 12 
Tributo del 2% a activos de empresas de paraísos fiscales está ,El tema fue incorporado en el informe de la Comisión de Desarrollo Económico con base a una propuesta del correísta Cristóbal Lloret que no 
Correismo: ya hay candidatos a asambleístas en Azuay | Diario El ,Los cinco aspirantes a llegar al legislativo por Azuay son: Juan Cristóbal Lloret quien busca la reelección. También están Andrea Verónica 
La Comisión de Fiscalización recomendará juicio a Romo | Diario El ,Por su parte Juan Cristóbal Lloret coordinador de la Revolución Ciudadana señaló que su bancada también apoya que el juicio a Romo 
Lloret oficializó el pedido de juicio político al Ministro de Finanzas,El asambleísta Juan Cristóbal Lloret de la Revolución Ciudadana oficializó la solicitud de enjuiciamiento político en contra del ministro de 
El correísmo anuncia que buscará un juicio político en contra de ,Juan Cristóbal Lloret coordinador de la bancada correísta de la Asamblea Nacional anunció que impulsará un juicio político en contra del 
Asambleísta Juan Cristóbal Lloret propone norma contra cobros ,Juan Cristóbal Lloret asambleísta por la provincia de Azuay acompañado de un grupo de perjudicados por débitos indebidos de los bancos 
Preocupación en Azuay y el Austro por el centralismo de la sede de , asambleístas azuayos Gloria Astudillo Lourdes Cuesta Ximena Peña Doris Soliz Esteban Albornoz Juan Cristóbal Lloret y José Serrano 
Responsabilidad política,El asambleísta Juan Cristóbal Lloret de la bancada de la Revolución Ciudadana en la sesión del pleno del pasado martes insistió en el 
Los restos de PAIS cuidan las espaldas al Gobierno en la Asamblea,Por esa razón el legislador Juan Cristóbal Lloret (RC) incluso ha propuesto en tres ocasiones cambios del orden del día para que la Asamblea 
150 precandidatos en Azuay | Diario El Mercurio,Igualmente está Juan Cristóbal Lloret quien irá en representación de una alianza entre el movimiento Centro Democrático y el colectivo Unión 
Cristóbal Lloret fue designado como Gobernador de Azuay en ,La tarde de este 19 de noviembre del 2015 Juan Cristóbal Lloret director de Alianza País en Azuay fue nombrado como nuevo Gobernador 
Raúl Pérez Torres esquiva la censura en la Asamblea,La moción de censura planteada por los interpelantes Juan Cristóbal Lloret y Lira Villalva no tuvo los votos necesarios para la censura. 
El Consejo de Administración Legislativa calificó cinco solicitudes de juicio político contra el ministro de Economía Richard Martínez,Los asambleístas proponentes de estos procesos de juicio contra Martínez son Juan Cristóbal Lloret (RC) Jimmy Candell (BIN) Raúl Tello 
Richard Martínez el trofeo político que apetece la oposición,Por esa razón el asambleísta Juan Cristóbal Lloret (Revolución Ciudadana) planteó al Pleno del Legislativo una propuesta de resolución que 
En la Asamblea se pide convocar al Ministro de Finanzas ante el ,Juan Cristóbal Lloret coordinador del bloque correísta criticó que el Parlamento “nuevamente esté de espaldas al pueblo” en medio de la 
Cinco pedidos de juicio político contra Richard Martínez fueron , interpelación contra Martínez fueron presentados en el último año por los asambleístas Juan Cristóbal Lloret y Yofre Poma del correísmo; 
Ministro Richard Martínez tiene cinco solicitudes de juicio político,El legislador de la Revolución Ciudadana (RC) Juan Cristóbal Lloret durante la sesión del Pleno de este martes 9 de junio de 2020 solicitó 
El Gobierno se predispone a rever decisiones sobre Hidropaute y Celec | Diario,Según argumentó Albornoz que fue apoyado por los legisladores del Azuay que integran la Comisión Juan Cristóbal Lloret y Doris Soliz y por 
Los pedidos de juicio político contra Romo y Martínez se resolverán , pedidos de juicio político que en el último año fueron presentados por los asambleístas Juan Cristóbal Lloret y Yofre Poma del correísmo; 
En Azuay se aprobaron 180 candidatos para 5 curules en la , ocasión llegó con CREO; y Juan Cristóbal Lloret por Unión por la Esperanza pero que en el periodo anterior fue electo por Alianza PAIS. 
Asambleístas piden que el Gobierno informe sobre la contraparte ,Juan Cristóbal Lloret correísta mencionó que si bien era necesario que el Gobierno busque recursos para financiar el Presupuesto General 
Las riquezas de Alexis Medina,“El imputado Juan Alexis Medina Sánchez posee bienes que no puede  uno de ellos en la Torre Lloret de Mar mientras que el segundo está en la Torre  de terreno ubicada en Najayo Arriba Fuerte Resoli San Cristóbal. 
Hoy el BID nombra vicepresidente de Países; Martínez podría ocupar el cargo por invitación de Claver-Carone,En todo caso el martes pasado hubo una propuesta planteada por el asambleísta correísta Juan Cristóbal Lloret para que la Asamblea 
El Ministro de Finanzas suma su segunda solicitud de juicio político,Juan Cristóbal Lloret oficializo el otro proceso. Rhonny Rodríguez. Actualizado 20/05/2020 
90 candidatos buscan las curules azuayas; en Junta Provincial no ,Se trata de María de Lourdes Cuesta quien pasó de Creo al socialcristianismo y Juan Cristóbal Lloret que dejó Alianza País y ahora es parte 
